Latitude,Longitude,Date,Time
-11.85765,67.0330833333333,2025-01-09,03:28:53
-11.85765,67.0330833333333,2025-01-09,03:28:54
-11.83545,67.0530833333333,2025-01-09,09:33:58
-11.83545,67.0530833333333,2025-01-09,09:33:59
-11.8020166666667,67.0654666666667,2025-01-09,15:32:50
-11.7644166666667,67.0741166666667,2025-01-09,21:46:58
-11.7421166666667,67.08265,2025-01-10,03:43:59
-11.7218333333333,67.09535,2025-01-10,09:50:59
-11.6921,67.1031166666667,2025-01-10,16:09:23
-11.6704666666667,67.1071833333333,2025-01-10,21:51:14
-11.6542,67.1089,2025-01-11,03:43:59
-11.6422333333333,67.12055,2025-01-11,09:55:00
-11.6422333333333,67.12055,2025-01-11,09:55:00
-11.6346666666667,67.13005,2025-01-11,16:25:53
-11.6346666666667,67.13005,2025-01-11,16:25:54
-11.6269333333333,67.1402166666667,2025-01-11,22:41:33
-11.6215333333333,67.1568833333333,2025-01-12,04:57:24
-11.6134666666667,67.1758,2025-01-12,11:06:54
-11.5791833333333,67.1968166666667,2025-01-12,23:41:29
-11.5686,67.2037,2025-01-13,06:00:27
-11.5606166666667,67.21405,2025-01-13,12:17:19
-11.55975,67.2151333333333,2025-01-13,16:38:24
-11.5575166666667,67.2139333333333,2025-01-13,20:51:44
-11.5550833333333,67.2147,2025-01-14,01:00:49
-11.5638333333333,67.2180333333333,2025-01-14,06:23:19
-11.5704,67.2256,2025-01-14,11:50:54
-11.5655833333333,67.2441666666667,2025-01-14,17:30:53
-11.5520833333333,67.25845,2025-01-14,22:56:19
-11.5407833333333,67.2731833333333,2025-01-15,04:16:59
-11.5803,67.2782833333333,2025-01-15,09:32:14
-11.57065,67.2911833333333,2025-01-15,15:07:49
-11.5625333333333,67.3054,2025-01-15,20:15:58
-11.5452333333333,67.3158833333333,2025-01-16,01:31:13
-11.5229833333333,67.3853333333333,2025-01-16,12:17:24
-11.5128,67.39295,2025-01-16,17:38:33
-11.5498166666667,67.3910666666667,2025-01-16,22:56:54
-11.5848666666667,67.3874833333333,2025-01-17,04:13:27
-11.6280833333333,67.3998666666667,2025-01-17,09:33:34
-11.6752666666667,67.48495,2025-01-17,20:29:18
-11.68165,67.5681666666667,2025-01-18,01:54:09
-11.66185,67.5966333333333,2025-01-18,07:20:49
-11.6411166666667,67.6327,2025-01-18,12:46:23
-11.6411166666667,67.6327,2025-01-18,12:46:24
-11.6167666666667,67.6460833333333,2025-01-18,18:06:00
-11.5982666666667,67.6691,2025-01-18,23:17:28
-11.5715166666667,67.6899166666667,2025-01-19,04:38:24
-11.5473166666667,67.71165,2025-01-19,09:57:29
-11.5204666666667,67.7251166666667,2025-01-19,15:21:23
-11.49665,67.7320666666667,2025-01-19,20:49:25
-11.4728333333333,67.7495666666667,2025-01-20,02:04:28
-11.4309,67.7603833333333,2025-01-20,09:25:20
-11.4282333333333,67.7602,2025-01-20,09:41:14
-11.3986666666667,67.7630666666667,2025-01-20,14:38:50
-11.3645333333333,67.7550333333333,2025-01-20,19:45:28
-11.3365166666667,67.7495833333333,2025-01-21,01:07:58
-11.3072333333333,67.7449,2025-01-21,06:18:59
-11.27795,67.7350833333333,2025-01-21,11:30:27
-11.24595,67.7231,2025-01-21,16:51:24
-11.2128166666667,67.7069666666667,2025-01-21,22:09:25
-11.1821166666667,67.6939333333333,2025-01-22,03:28:08
-11.14975,67.6789666666667,2025-01-22,08:52:59
-11.1168833333333,67.6650666666667,2025-01-22,14:10:58
-11.0806833333333,67.6480833333333,2025-01-22,19:38:54
-11.0450333333333,67.62895,2025-01-23,00:59:29
-11.0099666666667,67.61125,2025-01-23,06:33:59
-10.9741166666667,67.58795,2025-01-23,11:53:59
-10.9392,67.5599333333333,2025-01-23,17:13:24
-10.9039,67.5311166666667,2025-01-23,22:37:31
-10.8731166666667,67.5059833333333,2025-01-24,04:00:59
-10.8731166666667,67.5059833333333,2025-01-24,04:00:59
-10.8395833333333,67.4776166666667,2025-01-24,09:29:55
-10.8395833333333,67.4776166666667,2025-01-24,09:29:55
-10.8031333333333,67.4506666666667,2025-01-24,14:45:49
-10.7692666666667,67.4173333333333,2025-01-24,20:14:24
-10.7423833333333,67.3900666666667,2025-01-25,01:36:04
-10.7169666666667,67.3647333333333,2025-01-25,06:58:24
-10.6861333333333,67.33745,2025-01-25,12:23:54
-10.65845,67.3076,2025-01-25,17:43:29
-10.63425,67.2760833333333,2025-01-25,23:10:29
-10.6159,67.2563,2025-01-26,04:32:29
-10.59445,67.2363833333333,2025-01-26,09:50:24
-10.5679666666667,67.2134,2025-01-26,15:16:19
-10.5438666666667,67.18895,2025-01-26,20:42:54
-10.5274333333333,67.1624166666667,2025-01-27,02:00:24
-10.5274333333333,67.1624166666667,2025-01-27,02:00:24
-10.5119166666667,67.1448166666667,2025-01-27,07:25:53
-10.5119166666667,67.1448166666667,2025-01-27,07:25:54
-10.48685,67.1158666666667,2025-01-27,12:48:59
-10.46685,67.0894333333333,2025-01-27,18:14:53
-10.4487833333333,67.0624833333333,2025-01-27,23:33:29
-10.4396,67.0388833333333,2025-01-28,04:58:54
-10.4303833333333,67.0234166666667,2025-01-28,10:14:24
-10.4139333333333,66.9992833333333,2025-01-28,15:36:59
-10.4139333333333,66.9992833333333,2025-01-28,15:36:59
-10.4047333333333,66.9823333333333,2025-01-28,21:05:25
-10.3949333333333,66.96095,2025-01-29,02:29:56
-10.39245,66.9521166666667,2025-01-29,08:00:04
-10.3771,66.9335333333333,2025-01-29,13:30:48
-10.3613,66.91195,2025-01-29,18:58:59
-10.3484,66.8896,2025-01-30,00:26:24
-10.3441,66.8696,2025-01-30,05:56:14
-10.3357,66.8630833333333,2025-01-30,11:29:24
-10.3233333333333,66.84295,2025-01-30,16:50:24
-10.3103333333333,66.833,2025-01-30,22:18:54
-10.3016,66.8222666666667,2025-01-31,03:43:34
-10.2966166666667,66.8158166666667,2025-01-31,09:16:27
-10.2817,66.7968,2025-01-31,14:42:03
-10.2747166666667,66.78295,2025-01-31,20:05:58
-10.2609666666667,66.7669333333333,2025-02-01,01:20:59
-10.2525333333333,66.75285,2025-02-01,06:50:53
-10.2405833333333,66.7427166666667,2025-02-01,12:10:24
-10.2103,66.71265,2025-02-01,21:37:29
-10.1880833333333,66.6763,2025-02-02,08:02:53
-10.1593333333333,66.6283333333333,2025-02-02,18:32:53
-10.13655,66.5935666666667,2025-02-03,04:15:58
-10.1066166666667,66.5519,2025-02-03,16:50:04
-10.0935333333333,66.5200666666667,2025-02-04,03:38:24
-10.0704833333333,66.483,2025-02-04,14:16:50
-10.0515166666667,66.4420666666667,2025-02-05,00:56:24
-10.0443,66.4118333333333,2025-02-05,10:58:34
-10.0427166666667,66.3886,2025-02-05,16:30:49
-10.0642,66.39405,2025-02-05,21:39:54
-10.08595,66.4090666666667,2025-02-06,02:30:58
-10.08595,66.4090666666667,2025-02-06,02:30:58
-10.0964833333333,66.4132333333333,2025-02-06,07:38:00
-10.08125,66.37855,2025-02-06,12:36:23
-10.06845,66.3337666666667,2025-02-06,18:00:13
-10.06545,66.3219833333333,2025-02-06,23:30:54
-10.0704,66.3134,2025-02-07,05:01:23
-10.0704166666667,66.3063166666667,2025-02-07,10:14:49
-10.0632,66.29455,2025-02-07,15:33:29
-10.0578833333333,66.2462166666667,2025-02-07,20:59:59
-10.0551833333333,66.2105333333333,2025-02-08,02:21:59
-10.0551833333333,66.2105333333333,2025-02-08,02:21:59
-10.0716666666667,66.1591,2025-02-08,07:35:20
-10.07665,66.1263166666667,2025-02-08,10:22:09
-10.0776333333333,66.0966166666667,2025-02-08,13:06:54
