Date,Time,Longitude,Latitude
02-03-2025,17:01:28,65.42288333,-8.264883333
02-03-2025,22:27:58,65.41876667,-8.236166667
03-03-2025,04:14:59,65.40325,-8.198666667
03-03-2025,09:47:05,65.39866667,-8.166766667
03-03-2025,15:17:29,65.3897,-8.135216667
03-03-2025,20:49:23,65.3908,-8.109783333
04-03-2025,01:59:44,65.39161667,-8.083216667
04-03-2025,07:23:28,65.39398333,-8.051633333
04-03-2025,12:49:53,65.40383333,-8.023
04-03-2025,18:10:24,65.40581667,-7.99295
04-03-2025,23:53:59,65.41518333,-7.953916667
05-03-2025,05:43:58,65.4153,-7.9202
05-03-2025,11:18:59,65.4204,-7.88795
05-03-2025,17:05:53,65.42011667,-7.857916667
05-03-2025,22:36:04,65.42901667,-7.836016667
06-03-2025,04:10:47,65.44123333,-7.8103
06-03-2025,09:49:39,65.44408333,-7.782483333
06-03-2025,15:35:24,65.4512,-7.755216667
06-03-2025,21:07:54,65.46336667,-7.731516667
07-03-2025,02:52:30,65.47616667,-7.712333333
07-03-2025,08:04:59,65.49681667,-7.689983333
07-03-2025,08:04:59,65.49681667,-7.689983333
07-03-2025,13:33:43,65.5111,-7.663316667
07-03-2025,19:19:58,65.52953333,-7.634616667
08-03-2025,01:19:33,65.54508333,-7.619783333
08-03-2025,06:34:19,65.57108333,-7.5997
08-03-2025,12:23:58,65.59413333,-7.569166667
08-03-2025,17:49:24,65.62158333,-7.549016667
08-03-2025,23:32:28,65.63843333,-7.526783333
09-03-2025,05:30:49,65.65961667,-7.511666667
09-03-2025,11:05:53,65.67431667,-7.487066667
09-03-2025,16:30:58,65.68926667,-7.46415
09-03-2025,21:56:34,65.70988333,-7.45
10-03-2025,03:35:24,65.72978333,-7.4369
10-03-2025,03:35:24,65.72978333,-7.4369
10-03-2025,09:09:24,65.75143333,-7.43105
10-03-2025,09:09:24,65.75143333,-7.43105
10-03-2025,14:34:29,65.77035,-7.412066667
10-03-2025,20:37:29,65.79321667,-7.4026
11-03-2025,02:01:29,65.80876667,-7.389583333
11-03-2025,07:14:19,65.83828333,-7.38205
11-03-2025,13:18:30,65.85468333,-7.367816667
11-03-2025,18:32:59,65.87951667,-7.352633333
11-03-2025,23:51:54,65.90398333,-7.337383333
12-03-2025,05:34:59,65.92073333,-7.330616667
12-03-2025,05:38:31,65.92081667,-7.32935
12-03-2025,11:20:54,65.92748333,-7.30595
12-03-2025,15:46:59,65.9307,-7.2978
12-03-2025,15:46:59,65.9307,-7.2978
12-03-2025,20:04:59,65.9428,-7.288233333
13-03-2025,00:36:39,65.93765,-7.284366667
13-03-2025,05:08:19,65.9394,-7.287033333
13-03-2025,05:08:19,65.9394,-7.287033333
13-03-2025,09:57:29,65.94,-7.299266667
13-03-2025,14:04:04,65.9596,-7.282016667
13-03-2025,17:48:54,65.98411667,-7.26435
13-03-2025,21:47:13,66.00146667,-7.252383333
14-03-2025,01:33:34,66.03233333,-7.23415
14-03-2025,05:36:13,66.05485,-7.21945
14-03-2025,09:48:14,66.08113333,-7.209433333
14-03-2025,14:05:29,66.09716667,-7.192766667
14-03-2025,18:29:38,66.11875,-7.177183333
14-03-2025,23:30:04,66.12885,-7.176983333
15-03-2025,04:30:30,66.14808333,-7.169733333
15-03-2025,09:11:09,66.17171667,-7.158183333
15-03-2025,09:11:09,66.17171667,-7.158183333
15-03-2025,14:30:58,66.18206667,-7.143183333
15-03-2025,20:02:24,66.19688333,-7.150083333
16-03-2025,01:19:19,66.20935,-7.14985
16-03-2025,01:19:20,66.20935,-7.14985
16-03-2025,06:50:24,66.21223333,-7.148683333
16-03-2025,12:06:58,66.22375,-7.148816667
16-03-2025,17:27:39,66.21835,-7.155733333
16-03-2025,23:13:50,66.22921667,-7.165983333
17-03-2025,05:07:54,66.23276667,-7.1646
17-03-2025,11:25:24,66.23903333,-7.170716667
17-03-2025,17:39:59,66.24053333,-7.180883333
18-03-2025,05:10:29,66.25411667,-7.19355
18-03-2025,07:53:33,66.26985,-7.198616667
18-03-2025,10:37:31,66.28683333,-7.202816667
18-03-2025,13:13:49,66.30203333,-7.202166667
18-03-2025,13:13:49,66.30203333,-7.202166667
18-03-2025,16:07:29,66.31731667,-7.19815
18-03-2025,18:52:34,66.33331667,-7.199
18-03-2025,21:37:50,66.35201667,-7.20195
19-03-2025,00:28:04,66.366,-7.199983333
19-03-2025,03:28:34,66.37301667,-7.19145
19-03-2025,06:24:49,66.37966667,-7.191216667
19-03-2025,08:59:34,66.3873,-7.195383333
19-03-2025,11:50:25,66.39843333,-7.197733333
